cenario_id,temperatura_interna,temperatura_externa,integridade_estrutural,nivel_de_energia,pressao_dos_tanques,status_navegacao,status_comunicacao,status_propulsao,status_lifesuport,CONTROLE
cenario_1,67,-136,0,35%,37,0,1,0,0,FALSE
cenario_2,47,44,0,9%,38,0,0,1,0,FALSE
cenario_3,5,45,1,23%,32,0,1,0,0,FALSE
cenario_4,98,50,1,47%,27,1,1,0,0,FALSE
cenario_5,72,14,1,24%,21,0,0,0,1,FALSE
cenario_6,69,29,0,80%,40,1,0,1,0,FALSE
cenario_7,28,24,0,67%,34,0,1,1,0,FALSE
cenario_8,10,27,0,19%,26,1,1,0,0,TRUE
cenario_9,82,-5,1,88%,39,0,1,0,0,FALSE
cenario_10,32,12,0,85%,27,0,0,1,0,FALSE
cenario_11,31,-1,0,62%,50,1,1,0,0,FALSE
cenario_12,94,18,1,77%,44,0,1,0,1,FALSE
cenario_13,100,11,0,50%,32,0,1,1,1,FALSE
cenario_14,22,21,1,41%,41,0,1,0,1,FALSE
cenario_15,48,14,1,70%,22,1,1,0,0,FALSE
cenario_16,38,10,1,97%,44,0,1,1,1,FALSE
cenario_17,51,5,1,99%,32,0,1,1,0,FALSE
cenario_18,87,35,1,83%,46,0,0,1,0,FALSE
cenario_19,8,6,0,78%,36,1,0,1,1,FALSE
cenario_20,5,57,0,90%,28,0,0,1,1,FALSE
cenario_21,92,5,0,59%,43,0,1,1,0,FALSE
cenario_22,55,36,1,81%,20,1,1,1,0,FALSE
cenario_23,89,46,1,19%,49,0,0,1,0,FALSE
cenario_24,6,16,0,51%,43,0,1,0,1,FALSE
cenario_25,42,25,1,90%,41,0,1,0,0,FALSE
cenario_26,97,60,1,59%,29,1,1,1,1,FALSE
cenario_27,98,26,1,22%,26,1,0,0,1,FALSE
cenario_28,99,29,1,57%,32,0,0,0,0,FALSE
cenario_29,55,-5,0,79%,28,0,0,1,1,FALSE
cenario_30,90,19,1,34%,39,0,0,1,0,FALSE
cenario_31,26,10,0,44%,20,1,1,0,1,FALSE
cenario_32,47,11,0,96%,36,0,1,0,1,FALSE
cenario_33,45,2,0,97%,24,1,0,0,0,FALSE
cenario_34,28,-4,0,85%,21,1,1,0,0,FALSE
cenario_35,31,36,0,7%,38,1,1,0,1,FALSE
cenario_36,55,29,0,54%,46,1,0,0,0,FALSE
cenario_37,70,-7,0,42%,41,0,0,0,0,FALSE
cenario_38,11,-8,1,73%,48,1,0,0,1,FALSE
cenario_39,18,6,1,17%,33,0,0,0,0,FALSE
cenario_40,71,26,0,62%,40,1,1,1,1,FALSE
cenario_41,18,13,0,47%,45,0,0,1,1,FALSE
cenario_42,93,30,0,0%,40,1,1,0,0,FALSE
cenario_43,84,11,0,53%,37,0,1,1,0,FALSE
cenario_44,89,59,1,95%,43,1,1,0,1,TRUE
cenario_45,18,1,0,19%,49,0,0,0,1,FALSE
cenario_46,56,2,1,43%,31,0,0,0,1,FALSE
cenario_47,42,40,1,65%,36,1,0,1,1,FALSE
cenario_48,89,0,0,39%,50,0,0,1,1,FALSE
