cenario_id,temperatura_interna,temperatura_externa,integridade_estrutural,nivel_de_energia,pressao_dos_tanques,status_navegacao,status_comunicacao,status_propulsao,status_lifesuport,controle
cenario_1,47,-136,0,35%,37,0,1,0,0,FALSE
cenario_2,35,44,1,70%,38,1,1,1,1,TRUE
cenario_3,37,45,1,23%,32,0,1,0,0,FALSE
cenario_4,46,50,1,47%,27,1,1,0,0,FALSE
cenario_5,13,14,1,24%,21,0,0,0,1,FALSE
cenario_6,25,29,0,80%,40,1,0,1,0,FALSE
cenario_7,41,24,0,67%,34,0,1,1,0,FALSE
cenario_8,10,27,0,19%,26,1,1,0,0,FALSE
cenario_9,38,-5,1,88%,39,0,1,0,0,FALSE
cenario_10,27,12,0,85%,27,0,0,1,0,FALSE
cenario_11,21,-1,0,62%,50,1,1,0,0,FALSE
cenario_12,34,18,1,77%,44,0,1,0,1,FALSE
cenario_13,17,11,0,50%,32,0,1,1,1,FALSE
cenario_14,31,21,1,41%,41,0,1,0,1,FALSE
cenario_15,46,14,1,70%,22,1,1,0,0,FALSE
cenario_16,18,10,1,97%,40,1,1,1,1,TRUE
cenario_17,1,5,1,99%,32,0,1,1,0,FALSE
cenario_18,25,35,1,83%,46,0,0,1,0,FALSE
cenario_19,43,6,0,78%,36,1,0,1,1,FALSE
cenario_20,1,57,0,90%,28,0,0,1,1,FALSE
cenario_21,21,5,0,59%,43,0,1,1,0,FALSE
cenario_22,1,36,1,81%,20,1,1,1,0,FALSE
cenario_23,4,46,1,19%,49,0,0,1,0,FALSE
cenario_24,24,16,0,51%,43,0,1,0,1,FALSE
cenario_25,45,25,1,90%,41,0,1,0,0,FALSE
cenario_26,4,60,1,59%,29,1,1,1,1,FALSE
cenario_27,42,26,1,22%,26,1,0,0,1,FALSE
cenario_28,29,29,1,57%,32,0,0,0,0,FALSE
cenario_29,14,-5,0,79%,28,0,0,1,1,FALSE
cenario_30,20,19,1,34%,39,0,0,1,0,FALSE
cenario_31,25,10,0,44%,20,1,1,0,1,FALSE
cenario_32,22,11,0,96%,36,0,1,0,1,FALSE
cenario_33,18,2,0,97%,24,1,0,0,0,FALSE
cenario_34,3,-4,0,85%,21,1,1,0,0,FALSE
cenario_35,1,36,0,7%,38,1,1,0,1,FALSE
cenario_36,25,40,1,93%,37,1,1,1,1,TRUE
cenario_37,28,-7,0,42%,41,0,0,0,0,FALSE
cenario_38,19,-8,1,73%,48,1,0,0,1,FALSE
cenario_39,18,6,1,17%,33,0,0,0,0,FALSE
cenario_40,38,26,0,62%,40,1,1,1,1,FALSE
cenario_41,4,13,0,47%,45,0,0,1,1,FALSE
cenario_42,13,30,0,0%,40,1,1,0,0,FALSE
cenario_43,11,11,0,53%,37,0,1,1,0,FALSE
cenario_44,0,59,1,95%,43,1,1,0,1,FALSE
cenario_45,17,1,0,19%,49,0,0,0,1,FALSE
cenario_46,27,2,1,43%,31,0,0,0,1,FALSE
cenario_47,6,40,1,65%,36,1,0,1,1,FALSE
cenario_48,36,0,0,39%,50,0,0,1,1,FALSE
cenario_49,24,39,0,52%,49,0,0,1,0,FALSE
cenario_50,5,16,1,15%,48,1,0,1,0,FALSE
cenario_51,26,44,1,71%,35,1,1,1,1,TRUE
cenario_52,13,51,1,28%,29,1,1,1,0,FALSE
cenario_53,41,25,0,6%,26,1,1,0,0,FALSE
cenario_54,36,1,0,58%,21,1,0,1,0,FALSE
cenario_55,14,56,0,12%,34,0,0,1,1,FALSE
cenario_56,38,-10,0,74%,31,0,0,1,1,FALSE
cenario_57,16,54,1,64%,41,0,1,1,0,FALSE
cenario_58,25,12,1,81%,36,1,0,0,1,FALSE
cenario_59,34,51,1,26%,34,1,1,1,1,FALSE
cenario_60,14,33,1,94%,22,1,0,0,1,FALSE
cenario_61,15,23,0,33%,44,0,0,1,0,FALSE
cenario_62,14,30,0,99%,44,0,0,0,1,FALSE
cenario_63,49,57,0,4%,40,1,1,0,1,FALSE
cenario_64,19,-5,0,29%,46,1,1,1,0,FALSE
cenario_65,28,53,1,51%,40,1,1,0,0,FALSE
cenario_66,34,56,1,7%,25,1,1,0,0,FALSE
cenario_67,30,26,0,58%,46,1,0,1,0,FALSE
cenario_68,9,45,1,36%,27,0,1,1,1,FALSE
cenario_69,13,33,1,64%,27,1,1,0,1,FALSE
cenario_70,20,20,1,90%,32,1,1,0,0,FALSE
cenario_71,31,60,0,17%,39,0,0,0,0,FALSE
cenario_72,44,51,0,24%,24,1,0,0,1,FALSE
cenario_73,23,47,1,0%,34,1,1,0,1,FALSE
cenario_74,49,31,0,6%,25,0,1,1,1,FALSE
cenario_75,42,46,1,45%,32,1,0,0,0,FALSE
cenario_76,41,56,0,36%,44,1,1,0,0,FALSE
cenario_77,47,48,1,6%,42,0,1,1,1,FALSE
cenario_78,43,52,1,51%,20,0,0,1,1,FALSE
cenario_79,28,41,0,50%,47,0,1,0,0,FALSE
cenario_80,49,38,1,21%,28,0,1,1,0,FALSE
cenario_81,39,43,0,63%,47,1,1,1,0,FALSE
cenario_82,42,4,1,50%,42,0,0,1,0,FALSE
cenario_83,21,19,1,83%,32,1,1,1,1,TRUE
cenario_84,15,33,0,23%,27,0,1,0,0,FALSE
cenario_85,43,55,1,48%,43,0,0,0,0,FALSE
cenario_86,25,14,1,46%,34,1,0,0,1,FALSE
cenario_87,49,-4,1,50%,48,1,1,0,0,FALSE
cenario_88,16,28,1,28%,37,0,1,0,1,FALSE
cenario_89,10,-2,0,77%,35,0,0,1,0,FALSE
cenario_90,20,4,1,18%,21,0,0,1,0,FALSE
cenario_91,13,58,0,74%,50,1,1,0,1,FALSE
cenario_92,20,12,0,42%,25,1,1,0,1,FALSE
cenario_93,27,-7,1,91%,36,1,1,1,1,TRUE
cenario_94,12,-2,1,69%,49,1,1,0,1,FALSE
cenario_95,36,23,0,25%,39,1,0,1,0,FALSE
cenario_96,22,18,1,22%,37,0,1,0,1,FALSE
cenario_97,25,14,1,54%,20,1,0,0,0,FALSE
cenario_98,18,37,0,60%,45,0,0,0,1,FALSE
cenario_99,18,12,1,1%,22,1,0,0,1,FALSE
cenario_100,33,5,1,99%,40,1,1,1,1,TRUE
