cenario_id,temperatura_interna,temperatura_externa,integridade_estrutural,nivel_de_energia,pressao_dos_tanques,status_navegacao,status_comunicacao,status_propulsao,status_lifesuport,capacidade_total_kwh,consumo_decolagem_kwh,perdas_kwh,controle
cenario_1,47,-136,0,35%,37,0,1,0,0,1809,78,6,FALSE
cenario_2,35,44,1,70%,38,1,1,1,1,1063,112,19,TRUE
cenario_3,37,45,1,23%,32,0,1,0,0,785,76,48,FALSE
cenario_4,46,50,1,47%,27,1,1,0,0,1616,72,42,FALSE
cenario_5,13,14,1,24%,21,0,0,0,1,1364,58,6,FALSE
cenario_6,25,29,0,80%,40,1,0,1,0,691,105,19,FALSE
cenario_7,41,24,0,67%,34,0,1,1,0,1534,56,40,FALSE
cenario_8,10,27,0,19%,26,1,1,0,0,907,189,31,FALSE
cenario_9,38,-5,1,88%,39,0,1,0,0,951,164,42,FALSE
cenario_10,27,12,0,85%,27,0,0,1,0,1069,51,15,FALSE
cenario_11,21,-1,0,62%,50,1,1,0,0,1929,158,26,FALSE
cenario_12,34,18,1,77%,44,0,1,0,1,1069,89,18,FALSE
cenario_13,17,11,0,50%,32,0,1,1,1,1189,76,10,FALSE
cenario_14,31,21,1,41%,41,0,1,0,1,1278,74,27,FALSE
cenario_15,46,14,1,70%,22,1,1,0,0,1204,117,7,FALSE
cenario_16,18,10,1,97%,40,1,1,1,1,1994,167,39,TRUE
cenario_17,1,5,1,99%,32,0,1,1,0,755,146,10,FALSE
cenario_18,25,35,1,83%,46,0,0,1,0,1630,125,45,FALSE
cenario_19,43,6,0,78%,36,1,0,1,1,1766,142,41,FALSE
cenario_20,1,57,0,90%,28,0,0,1,1,893,67,7,FALSE
cenario_21,21,5,0,59%,43,0,1,1,0,1854,108,23,FALSE
cenario_22,1,36,1,81%,20,1,1,1,0,663,109,11,FALSE
cenario_23,4,46,1,19%,49,0,0,1,0,1278,121,34,FALSE
cenario_24,24,16,0,51%,43,0,1,0,1,1801,143,15,FALSE
cenario_25,45,25,1,90%,41,0,1,0,0,1258,140,18,FALSE
cenario_26,4,60,1,59%,29,1,1,1,1,1872,118,49,FALSE
cenario_27,42,26,1,22%,26,1,0,0,1,1899,68,43,FALSE
cenario_28,29,29,1,57%,32,0,0,0,0,1800,93,39,FALSE
cenario_29,14,-5,0,79%,28,0,0,1,1,1993,112,15,FALSE
cenario_30,20,19,1,34%,39,0,0,1,0,1446,147,22,FALSE
cenario_31,25,10,0,44%,20,1,1,0,1,1810,192,19,FALSE
cenario_32,22,11,0,96%,36,0,1,0,1,1902,133,8,FALSE
cenario_33,18,2,0,97%,24,1,0,0,0,969,58,25,FALSE
cenario_34,3,-4,0,85%,21,1,1,0,0,1321,118,9,FALSE
cenario_35,1,36,0,7%,38,1,1,0,1,932,195,50,FALSE
cenario_36,25,40,1,93%,37,1,1,1,1,1144,104,46,TRUE
cenario_37,28,-7,0,42%,41,0,0,0,0,1522,151,46,FALSE
cenario_38,19,-8,1,73%,48,1,0,0,1,1439,86,21,FALSE
cenario_39,18,6,1,17%,33,0,0,0,0,785,113,40,FALSE
cenario_40,38,26,0,62%,40,1,1,1,1,1603,117,42,FALSE
cenario_41,4,13,0,47%,45,0,0,1,1,1377,199,30,FALSE
cenario_42,13,30,0,0%,40,1,1,0,0,1241,106,13,FALSE
cenario_43,11,11,0,53%,37,0,1,1,0,1543,176,10,FALSE
cenario_44,0,59,1,95%,43,1,1,0,1,596,78,14,FALSE
cenario_45,17,1,0,19%,49,0,0,0,1,1785,90,48,FALSE
cenario_46,27,2,1,43%,31,0,0,0,1,1364,66,29,FALSE
cenario_47,6,40,1,65%,36,1,0,1,1,1281,169,38,FALSE
cenario_48,36,0,0,39%,50,0,0,1,1,1014,191,5,FALSE
cenario_49,24,39,0,52%,49,0,0,1,0,1893,79,48,FALSE
